,title,Rating,price
0,"MSI GS66 Stealth, Intel 10th Gen. i7-10875H, 15.6"" FHD Gaming Laptop (16GB*2/1TB NVMe SSD/Windows 10 Home/Nvidia RTX 2070 Super Max-Q/ Black/2.1Kg), 10SFS-488IN",3.1 out of 5 stars2,"2,58,994"
1,"MSI GE66 Raider, Intel 10th Gen. i7-10875H, 15.6"" FHD Gaming Laptop (16GB*2/2TB NVMe SSD/Windows 10 Home/Nvidia RTX 2070 Super/Titanium Blue/2.38Kg), 10SFS-443IN",5.0 out of 5 stars1,"2,69,990"
2,"(Renewed) Dell Latitude E7470 14-inch Laptop (Core i7 6th Gen/16GB/1 TB HDD/Windows 10/MS Office Pro 2019/Intel Graphics), Black",4.2 out of 5 stars384,"55,299"
3,"(Renewed) Dell Latitude E7470 14-inch Laptop (Core i7 6th Gen/16GB/500 GB HDD/Windows 10/MS Office Pro 2019/Intel Graphics), Black",3.6 out of 5 stars54,"64,399"
4,"Mi Notebook Horizon Edition 14 Intel Core i7-10510U 10th Gen Thin and Light Laptop(8GB/512GB SSD/Windows 10/Nvidia MX350 2GB Graphics/Grey/1.35Kg), XMA1904-AF+Webcam",3.9 out of 5 stars59,"59,999"
5,"(Renewed) Lenovo Legion Y740 9th Gen Intel Core i7 15.6 inch FHD Gaming Laptop (16GB/1TB SSD/NVIDIA RTX 2060 6GB Graphics/Windows 10/MS Office/Black/2.2Kg), 81UH006YIN",2.1 out of 5 stars3,"1,24,990"
6,(Renewed) Dell XPS 15 - 9570 Laptop/Intel 8th Gen Ci7-8750H/15.6inch FHD/256GB SSD/8GB/NVIDIA GeForce GTX 1050Ti 4GB GDDR5/Win 10 Pro//Silver Machined Aluminum - LCD Back Cover,3.8 out of 5 stars7,"1,02,490"
7,"(Renewed) HP Hybrid Probook Laptop 430G3 Intel Core i7 - 6500u Processor, 24 GB Ram & 512 GB SSD & 2TB HDD, Win10, 13.3 Inches 1.55 KG Ultralight Computer",3.8 out of 5 stars176,"69,990"
8,(Renewed) Dell XPS 9700 17Inch FHD Display Laptop (10th Gen i7-10750H / 16 GB / 1TB SSD / 4 GB GTX Graphics/ Win 10 + MS Office / Silver) D560027WIN9S,3.8 out of 5 stars5,"2,09,990"
9,"MSI GF63 Thin Core i7 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1650 Ti with Max-Q) GF63 Thin 9SCSR-1039IN Gaming Laptop (15.6 inch, Black, 1.86 kg)",3.6 out of 5 stars15,"70,990"
